name,lat,temp_max,winds,clouds,humidity
mahajanga,-15.72,73.4,4.7,20,94
san carlos de bariloche,-41.13,48.2,5.82,0,39
juanjui,-7.18,70.12,2.37,88,100
colombo,6.93,77.0,8.05,0,78
labuhan,-2.54,76.6,2.93,92,93
saint-michel-des-saints,46.68,14.1,3.49,48,82
hami,42.84,15.18,7.4,80,46
simcoe,42.84,33.8,17.22,90,100
nizhneudinsk,54.91,0.55,8.3,56,51
luderitz,-26.65,55.68,15.35,44,91
victoria,5.28,86.9,3.36,75,74
broome,52.47,50.61,6.93,92,100
skibotn,69.39,41.0,14.99,75,65
young,-32.7,58.6,14.0,0,56
barcelos,41.53,56.03,12.75,75,93
novo aripuana,-5.12,78.49,2.48,36,87
maanshan,31.7,55.4,4.47,90,100
mandera,3.94,73.45,3.83,56,84
mundo nuevo,-32.72,57.2,4.7,90,93
macas,-2.3,66.7,2.93,48,87
port-gentil,-0.72,77.77,2.71,92,100
clyde river,70.47,8.6,14.99,90,92
lompoc,34.64,53.24,11.41,20,61
berlevag,70.86,35.65,18.7,36,100
half moon bay,37.46,53.35,6.93,1,71
wawa,9.9,65.8,3.6,36,67
tuatapere,-46.13,65.31,4.38,0,74
port macquarie,-31.43,95.0,10.29,0,30
cherskiy,68.75,-7.01,3.38,64,75
san quintin,17.54,82.05,3.04,0,59
thinadhoo,0.53,81.6,9.75,48,100
kamenka,53.19,15.81,14.12,80,79
san juan,18.47,78.08,3.36,20,81
newport,51.59,54.64,16.11,90,100
altagracia de orituco,9.86,73.86,10.87,0,82
chernyakhovsk,54.64,18.73,8.08,76,84
soligalich,59.08,8.83,13.22,20,72
karlstad,59.38,37.4,5.82,76,100
samdari,25.81,56.31,1.92,0,64
sur,22.57,73.81,5.84,0,100
kirakira,-10.46,82.5,4.72,44,100
eureka,40.8,44.15,4.7,90,100
meulaboh,4.14,81.6,0.69,36,100
vawkavysk,53.15,3.34,5.95,0,64
iquique,-20.22,68.0,8.05,0,72
rawson,-43.3,54.82,13.56,8,42
dauriya,49.93,14.05,7.85,32,77
dzhebariki-khaya,62.22,-44.09,2.59,0,0
chapais,49.78,23.0,4.7,90,100
lokosovo,61.13,-10.66,8.75,88,74
banjarmasin,-3.32,80.6,5.82,40,83
lagoa,37.14,48.2,3.36,0,93
mildura,-34.18,73.4,17.22,0,23
emiliano zapata,20.23,81.73,6.51,0,57
progreso,-34.68,57.2,19.46,40,58
paamiut,61.99,27.19,11.99,0,100
bud,62.91,42.28,6.93,48,87
lisburn,54.51,42.8,2.24,80,100
asyut,27.18,50.0,2.82,0,81
sobolevo,54.43,16.75,7.96,92,85
totness,33.74,61.95,13.44,40,100
marzuq,14.4,39.7,2.37,0,85
udachnyy,66.42,-23.8,3.38,64,34
mayor pablo lagerenza,-19.93,74.35,10.76,8,75
djibo,14.1,60.85,2.71,0,63
puerto escondido,15.86,77.0,2.15,90,65
ankpa,7.37,73.81,7.29,44,65
port blair,11.67,84.52,12.66,12,97
mount gambier,-37.83,59.0,23.04,75,62
rach gia,10.02,82.4,13.87,40,74
herat,34.35,35.6,5.82,40,93
te anau,-45.41,69.85,3.49,32,71
fortuna,38.18,54.48,10.29,0,50
caboolture,-27.08,92.86,20.8,36,66
ust-karsk,52.71,-1.79,5.95,92,65
lavrentiya,65.58,26.7,13.56,56,100
dwarka,28.58,53.56,2.82,0,87
cabedelo,-6.97,80.6,6.93,75,83
natal,-5.81,80.6,8.05,40,83
kattivakkam,13.22,77.0,2.24,40,88
derzhavinsk,51.1,9.73,2.93,68,69
sheregesh,52.93,3.25,3.27,64,62
belmonte,40.36,32.68,0.58,76,84
hay river,60.82,14.0,2.24,90,92
medea,36.27,50.0,2.24,75,93
agirish,61.92,18.51,6.06,92,85
grand gaube,-20.01,77.0,3.36,75,78
cizre,37.33,46.41,2.82,68,97
wamba,2.14,70.3,2.82,44,83
arlit,18.74,50.5,3.04,0,44
aripuana,-9.17,71.83,1.7,92,99
peniche,39.36,49.66,1.12,20,100
amahai,-3.31,84.88,4.72,0,100
sal rei,16.18,71.6,10.29,75,83
alegrete,-29.79,61.12,15.9,0,63
payo,-3.75,81.01,4.16,44,100
tchollire,8.4,64.36,2.93,32,78
oltu,40.55,34.12,1.92,88,99
ouesso,1.61,70.71,2.59,80,99
hutchinson,38.06,36.39,18.34,90,92
tabou,4.42,81.55,7.4,8,100
burgersdorp,-30.99,42.13,2.59,20,83
aqtobe,50.28,-2.21,2.24,0,84
danilovka,50.35,20.53,13.44,92,91
kayerkan,69.35,-37.07,3.38,12,0
aldan,58.61,-18.85,3.27,44,77
yuxia,34.06,44.6,2.24,56,81
taikang,46.86,43.93,23.51,8,53
saint anthony,43.97,25.29,4.7,90,81
illapel,-31.63,57.34,2.26,0,94
panaba,21.28,80.2,8.75,0,61
sindor,62.87,14.5,7.18,32,79
rokytne,51.27,10.18,6.73,0,74
dehloran,32.69,59.59,3.04,44,97
kangaatsiaq,68.31,20.85,15.01,80,100
xingyi,24.19,60.63,9.64,0,56
morant bay,17.88,80.6,12.75,20,69
tagusao,9.19,81.96,7.4,76,91
bandarbeyla,9.49,78.81,14.79,36,100
shimoda,34.7,57.33,18.34,75,62
skjervoy,70.03,41.32,13.78,68,100
kathu,-27.7,55.0,3.71,56,38
jha jha,24.77,66.97,4.5,0,68
mazatlan,23.22,68.0,2.48,5,77
karratha,-20.74,84.43,11.21,0,50
havre-saint-pierre,50.23,10.4,3.36,20,85
zulueta,22.37,71.6,4.7,20,83
puertollano,38.69,30.61,2.15,20,77
gamba,28.28,5.73,2.59,0,73
salisbury,51.07,55.65,13.87,90,98
longyearbyen,78.22,24.8,23.04,75,62
brae,60.4,44.82,11.41,92,87
takoradi,4.89,79.75,7.96,20,100
boskoop,52.07,51.33,16.11,75,100
colac,-38.34,55.81,9.08,92,71
lasa,34.92,57.2,10.29,0,82
price,39.6,28.94,3.36,90,71
nago,45.88,31.44,2.24,20,100
mackay,53.65,28.4,2.93,90,100
green river,41.53,15.08,9.17,1,76
axim,4.87,80.88,9.42,44,100
juegang,32.31,67.42,15.23,44,79
opuwo,-18.06,59.46,2.48,0,94
gaomi,36.37,59.0,11.18,90,93
kon tum,14.36,80.61,3.27,8,61
byron bay,-28.65,91.17,24.16,44,66
puerto madryn,-42.77,55.45,18.14,8,82
oranjestad,12.52,80.6,12.75,20,74
gurh,24.52,64.18,3.15,0,71
ishim,56.11,9.73,9.75,88,77
qandala,11.47,61.35,3.49,8,100
bambous virieux,-20.34,77.0,3.36,75,78
pacific grove,36.62,51.01,10.29,75,71
balkanabat,39.51,34.35,6.73,88,69
batsfjord,70.63,35.6,41.38,75,80
cuamba,-14.8,64.23,4.05,88,94
faya,18.39,50.07,2.71,0,57
myrtle beach,33.7,62.01,8.05,90,96
salta,-24.79,60.8,5.82,90,93
ambon,47.55,56.55,16.11,90,100
usinsk,66.0,29.71,10.65,92,94
palana,59.08,12.07,6.4,48,66
baoqing,46.32,36.6,10.2,0,50
maceio,-9.67,77.0,6.93,40,94
jasper,33.83,67.6,7.52,92,100
chimbote,-9.08,61.35,6.62,24,95
saint-pierre,48.95,50.59,19.46,90,93
zalantun,48.0,36.51,7.4,0,56
shiyan,32.65,49.87,2.82,44,90
koundara,12.49,67.69,7.4,0,45
binga,-17.62,69.36,4.94,32,96
la ronge,55.1,19.4,4.7,90,100
general roca,-39.03,57.2,2.24,0,47
jijiga,9.35,39.93,2.37,0,85
xique-xique,-10.82,74.58,0.81,56,87
bagdarin,54.44,-1.52,4.72,64,59
valparaiso,41.47,44.49,9.17,90,98
biak,-0.91,82.99,1.59,56,90
cockburn town,21.46,80.47,18.03,0,100
kloulklubed,7.04,86.0,10.29,75,70
maracaibo,3.41,60.81,2.71,92,98
port hedland,-20.31,84.2,12.75,0,51
san rafael,-34.61,60.76,8.63,92,33
toora-khem,52.47,-2.6,3.38,36,42
sanandaj,35.31,44.6,4.7,90,87
husavik,50.56,11.26,9.31,0,76
westport,53.8,45.46,6.62,92,100
santiago,-33.44,68.0,10.29,75,49
yulara,-25.24,86.0,3.36,68,51
zeya,53.74,-6.29,3.15,92,82
moyale,3.52,67.06,4.83,80,89
vilyuysk,63.75,-38.56,3.38,48,0
dourbali,11.81,68.46,9.31,12,41
channel-port aux basques,47.57,36.19,10.65,80,100
fernie,49.5,21.97,1.7,68,85
poum,41.28,27.1,0.58,88,93
quelimane,-17.88,60.9,3.38,0,89
rio brilhante,-21.8,68.91,7.85,20,85
yongan,39.7,34.93,3.27,48,76
tezu,27.93,58.11,1.7,0,52
chhagalnaiya,23.03,73.36,3.38,0,62
tomari,47.76,34.08,17.25,68,79
zhezkazgan,47.8,1.4,8.95,40,84
grindavik,63.84,28.4,21.92,75,68
nador,35.17,45.07,4.7,0,81
kamsack,51.56,12.2,5.82,90,92
garden city,40.73,40.98,6.93,90,92
fairbanks,64.84,19.44,5.82,75,88
tieli,46.98,38.89,16.69,88,73
great bend,38.36,33.08,20.8,90,91
roald,62.58,42.31,10.29,36,65
fredericksburg,38.3,40.23,4.72,90,100
liku,-0.73,84.79,1.36,36,78
lakatoro,-16.11,81.96,5.95,24,95
peterhead,-34.83,66.2,23.04,20,45
butiama,-1.77,60.18,4.72,8,82
mmabatho,-25.85,56.26,2.82,0,89
vila velha,-3.71,80.6,3.36,75,83
samoded,63.61,22.83,7.29,44,63
rogovatoye,51.23,26.16,13.44,92,91
mazagao,-0.12,77.0,5.82,90,100
urucara,-2.54,75.75,2.26,36,95
awbari,26.59,36.06,5.17,0,73
kapuskasing,49.42,28.4,3.36,90,92
abu zabad,12.35,63.06,12.88,0,29
northfield,44.46,33.35,13.87,90,93
coari,-4.09,78.36,3.04,0,90
leshukonskoye,64.9,24.9,7.18,80,58
waingapu,-9.65,82.86,3.49,56,88
mongoumba,3.64,69.0,3.71,92,100
ngunguru,-35.62,66.48,18.25,0,92
tyumentsevo,53.32,-4.13,2.93,48,66
dauphin,51.15,19.4,6.93,90,100
punta cardon,11.61,79.26,16.91,0,77
saquena,-4.67,77.41,2.59,8,93
tarauaca,-8.16,76.11,2.59,0,94
sikeston,36.88,58.15,11.41,1,62
safranbolu,41.25,28.23,1.81,32,92
lichuan,30.3,50.55,1.7,92,99
voh,-20.95,78.9,15.23,0,89
sarab,38.61,39.03,2.71,76,97
puerto quijarro,-19.0,71.29,2.82,48,98
mandaguari,-23.52,75.2,3.36,0,69
zapolyarnyy,69.43,32.0,36.91,75,81
mwingi,-0.93,62.74,2.93,80,98
nenjiang,49.17,33.81,10.98,0,60
okhotsk,59.36,-10.66,9.75,0,100
panjab,34.38,-4.58,2.82,0,47
kralendijk,12.15,78.8,13.87,68,83
urdoma,61.74,11.89,6.4,8,70
royal tunbridge wells,51.14,55.74,12.75,75,100
poronaysk,49.22,24.9,10.98,48,77
kushima,31.5,64.31,4.7,75,68
mount isa,-20.73,105.8,11.41,0,11
panguipulli,-39.64,59.0,6.93,0,44
nemuro,43.32,37.4,11.41,20,44
tucumcari,35.17,44.96,13.87,1,18
murray bridge,-35.12,64.09,19.15,56,79
iracoubo,5.48,77.86,6.17,20,69
khani,41.96,48.2,6.93,90,100
luganville,-15.51,83.98,9.19,12,98
sola,62.78,23.0,6.93,90,92
katherine,-14.47,96.8,5.82,0,41
kokino,53.16,19.4,6.71,90,92
acapulco,16.86,78.8,6.93,75,88
isangel,-19.55,78.85,9.75,0,100
juxtlahuaca,17.43,59.73,1.48,68,100
staritsa,56.51,15.0,8.86,92,81
bani,15.89,86.14,3.27,0,69
nova friburgo,-22.28,66.75,2.04,92,95
tres picos,16.23,66.43,2.26,0,91
shakhtinsk,49.71,3.2,6.71,75,91
muncar,-8.43,78.63,3.49,80,100
zholymbet,51.74,7.75,4.38,64,75
komsomolskiy,67.55,28.63,11.21,92,79
loikaw,19.67,68.73,1.59,20,90
ayame,5.61,76.11,4.94,20,100
imbituba,-28.24,75.2,4.7,0,73
aksu,52.04,-7.61,2.24,90,83
yumen,40.29,18.06,12.88,0,60
turayf,31.68,44.6,4.7,0,100
samarai,-10.62,84.61,13.22,0,99
mae chan,20.15,69.8,3.36,75,100
